index,bacteria,chemical,concentration,model,t_min,t_max,t_range,y_min,y_max_data,y_mean,y_std,y_range,y_mean_adjusted,y_std_adjusted,auc_per_hour,y0,ymax,mu_max,h0,t_lag,r_squared,delta_y_max,delta_nu_max,delta_t_lag,delta_auc_per_hour,delta_sum,delta_y_max_norm,delta_nu_max_norm,delta_t_lag_norm,delta_auc_per_hour_norm,delta_sum_norm
505,Acidaminococcus intestini sp. D21,Spermine NONOate,100,fit_baranyi_model,0.0,48.0,48.0,0.16067,0.31433,0.16447,0.01114,0.15366,0.0038,0.01114,0.16409,0.31433,0.16366,0.0,0.0,48.0,0.94424,-0.22367000000000004,-1.58774,39.61732,-0.22916999999999998,37.576739999999994,-0.4399931401501531,-2.96743036172941,-1.4496822521911643,-0.5150029735429116,-5.3721087276136394
506,Acidaminococcus intestini sp. D21,Spermine NONOate,500,fit_baranyi_model,0.0,48.0,48.0,0.16567,0.173,0.16895,0.00209,0.00733,0.00328,0.00209,0.16896,0.17102,0.16637,0.0,8.06691,48.0,0.87981,-0.36500000000000005,-1.58774,39.61732,-0.2243,37.44028,-0.7207653147645151,-2.96743036172941,-1.4496822521911643,-0.4893066346558384,-5.627184563340927
1417,Adlercreutzia equolifaciens DSM 19450,DEA NONOate,1,fit_baranyi_model,0.0,48.0,48.0,0.08567,0.34803,0.27339,0.07893,0.26236,0.18772,0.07893,0.27386,0.08885,0.31263,0.74966,6.12426,8.16938,0.94214,-0.025999999999999968,-0.13719000000000003,0.7924600000000002,-0.02557999999999999,0.6036900000000003,0.38437476577437363,-0.1272377618318498,0.4835438506389808,0.4822229448553236,1.2229037994368284
1418,Adlercreutzia equolifaciens DSM 19450,DEA NONOate,10,fit_baranyi_model,0.0,48.0,48.0,0.09543,0.36573,0.29078,0.08104,0.2703,0.19535,0.08104,0.29128,0.10018,0.33029,0.7976,6.38344,8.00328,0.93882,-0.008299999999999974,-0.08925000000000005,0.62636,-0.00816,0.5206500000000001,0.5592346682518855,0.07206357337505652,0.5294689076229077,0.7379967245496541,1.8987638737995038
1419,Adlercreutzia equolifaciens DSM 19450,DEA NONOate,100,fit_baranyi_model,0.0,48.0,48.0,0.09363,0.12267,0.10199,0.00952,0.02904,0.00836,0.00952,0.10195,0.09453,0.11694,0.40453,12.95863,32.0341,0.94663,-0.25136,-0.48232,24.657180000000004,-0.19749,23.726010000000006,-0.49951722766272416,-1.0482771380383418,-0.7298472981741653,-0.4243322762583517,-2.701973940133583
1420,Adlercreutzia equolifaciens DSM 19450,DEA NONOate,500,fit_baranyi_model,0.0,48.0,48.0,0.09887,0.11607,0.10084,0.00222,0.0172,0.00197,0.00222,0.10079,0.10028,16.83866,0.48003,27.48001,57.24593,0.73838,-0.25795999999999997,-0.40682,49.86901,-0.19865,49.00558,-0.5120078629364043,-0.8371501605057685,-2.1302047022883364,-0.4264931648765428,-3.905855890607052
1422,Adlercreutzia equolifaciens DSM 19450,DETA NONOate,1,fit_baranyi_model,0.0,48.0,48.0,0.10027,0.3354,0.25699,0.0676,0.23513,0.15672,0.0676,0.25748,0.1078,0.28263,1.36375,9.39096,6.88614,0.73544,-0.03863,0.4769,-0.49078,-0.04196,-0.09447,0.26788376758402355,2.0363904661536667,1.0587790923308809,0.25999256193452497,3.6230458880030962
1423,Adlercreutzia equolifaciens DSM 19450,DETA NONOate,10,fit_baranyi_model,0.0,48.0,48.0,0.09607,0.361,0.28287,0.07887,0.26493,0.1868,0.07887,0.28334,0.0985,0.32059,0.85906,6.81609,7.93435,0.92792,-0.013029999999999986,-0.02778999999999998,0.5574300000000001,-0.016100000000000003,0.5005100000000001,0.5081992532745075,0.3816746537655627,0.5560832057638446,0.6150417278841245,2.0609988406880397
1424,Adlercreutzia equolifaciens DSM 19450,DETA NONOate,100,fit_baranyi_model,0.0,48.0,48.0,0.09357,0.34187,0.26651,0.07916,0.2483,0.17294,0.07916,0.26692,0.09441,0.31005,0.63208,5.95774,9.42558,0.95526,-0.032159999999999966,-0.25477000000000005,2.04866,-0.03251999999999999,1.7292100000000001,0.32831522232517873,-0.5136764914773524,0.2551400952739723,0.39070742962951416,0.4604862557513128
1425,Adlercreutzia equolifaciens DSM 19450,DETA NONOate,500,fit_baranyi_model,0.0,48.0,48.0,0.07847,0.08353,0.08207,0.00141,0.00506,0.0036,0.00141,0.08207,0.07952,0.08292,0.67303,7.98419,11.86311,0.90817,-0.2905,-0.21382,4.486190000000001,-0.21736999999999998,3.764500000000001,-0.5620435518899124,-0.40327754336074667,0.07906847906445329,-0.46419418321024286,-1.3504467993964486
1426,Adlercreutzia equolifaciens DSM 19450,Spermine NONOate,1,fit_baranyi_model,0.0,48.0,48.0,0.08997,0.3767,0.29619,0.08667,0.28673,0.20622,0.08667,0.29671,0.09382,0.33865,0.79158,6.39273,8.0759,0.93647,0.0026700000000000057,-0.09527000000000008,0.6989800000000006,-0.00273000000000001,0.6036500000000006,0.6694537607013116,0.03936914372845986,0.5063303312052677,0.816273033538468,2.031426269173507
1427,Adlercreutzia equolifaciens DSM 19450,Spermine NONOate,10,fit_baranyi_model,0.0,48.0,48.0,0.08693,0.36913,0.2886,0.08796,0.2822,0.20167,0.08796,0.28909,0.08992,0.33384,0.74773,6.46624,8.64788,0.94997,-0.00489999999999996,-0.13912000000000002,1.2709600000000005,-0.01034999999999997,1.1165900000000004,0.5949378445075473,-0.13209280422927924,0.3739045787722357,0.6981657588002541,1.5349153778507578
1428,Adlercreutzia equolifaciens DSM 19450,Spermine NONOate,100,fit_baranyi_model,0.0,48.0,48.0,0.09733,0.10203,0.09998,0.00103,0.0047,0.00265,0.00103,0.09997,0.09867,0.10066,0.27044,4.36861,16.15382,0.57287,-0.27199999999999996,-0.61641,8.7769,-0.19946999999999998,7.689019999999999,-0.5293963002133907,-1.3337541672354756,-0.08433883194192617,-0.42883775892927756,-2.3763270583200704
1429,Adlercreutzia equolifaciens DSM 19450,Spermine NONOate,500,fit_baranyi_model,0.0,48.0,48.0,0.07277,0.08543,0.08082,0.0034,0.01266,0.00805,0.0034,0.08083,0.07318,0.08752,0.03736,0.0,0.0,0.99078,-0.28859999999999997,-0.8494900000000001,-7.37692,-0.21860999999999997,-8.73362,-0.5607686662203989,-1.6792534382633397,1.5697975071639005,-0.46927643166675914,-1.1395010289865972
1404,Akkermansia muciniphila ATCC BAA-835,DEA NONOate,1,fit_baranyi_model,0.0,48.0,48.0,0.11553,0.1227,0.11899,0.00146,0.00717,0.00346,0.00146,0.11899,0.12007,0.11851,0.0,23.29845,48.0,0.22673,-0.06079999999999999,-0.11673,39.39255,-0.048299999999999996,39.166720000000005,0.10934162529989343,-0.058998939306142646,-1.39120205536241,0.18800622498994046,-1.1528531443787187
1405,Akkermansia muciniphila ATCC BAA-835,DEA NONOate,10,fit_baranyi_model,0.0,48.0,48.0,0.12287,0.14037,0.12967,0.00556,0.0175,0.0068,0.00556,0.12965,0.12449,0.13942,0.21584,6.78844,31.45164,0.96377,-0.04313,0.09911,22.84419,-0.03764000000000001,22.862530000000003,0.2313983884748309,1.1692587043906126,-0.7008336507793841,0.31299726510734927,1.0128207071934088
